EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.0125	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
3000	-19824.1	-8841	0.1
3100	-19040.85	-8841	0.1
3200	-17665.05	-8841	0.1
3300	-22445.8	-8841	0.1
3400	-23076.1	-8841	0.1
3500	-16837.55	-8841	0.1
3600	-18215.6	-8841	0.1
3700	-15881.2	-8841	0.1
3800	-17499.45	-8841	0.1
3900	-20970.95	-8841	0.1
4000	-21713.25	-8818	0.1
4100	-20869.8	-8818	0.1
4200	-16772.1	-8798	0.1
4300	-15546.85	-8715	0.1
4400	-18043.65	-8715	0.1
4500	-17837.0	-8715	0.1
4600	-19392.95	-8715	0.1
4700	-17811.85	-8715	0.1
4800	-18452.9	-8710	0.1
4900	-18565.7	-8710	0.1
Total Time: 42.72713112831116
Best Route: 22 1 49 32 36 35 39 34 40 37 38 48 24 5 15 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 10 9 43 33 51 12 28 27 26 47 13 14 52 11 29 30 42 7 2 17 21 
Fitness=-8710

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-29093.95	-8980	0.1
100	-17003.1	-8980	0.1
200	-18832.9	-8980	0.1
300	-21735.15	-8980	0.1
400	-21368.4	-8980	0.1
500	-23077.9	-8980	0.1
600	-16443.4	-8980	0.1
700	-16165.5	-8980	0.1
800	-18098.45	-8980	0.1
900	-21328.1	-8942	0.1
1000	-15680.15	-8942	0.1
1100	-20478.45	-8942	0.1
1200	-19459.5	-8920	0.1
1300	-26334.7	-8910	0.1
1400	-14882.1	-8910	0.1
1500	-19440.0	-8910	0.1
1600	-16007.6	-8910	0.1
1700	-18386.0	-8910	0.1
1800	-22126.2	-8910	0.1
1900	-21939.5	-8910	0.1
2000	-19067.85	-8910	0.1
2100	-22340.9	-8910	0.1
2200	-27032.5	-8910	0.1
2300	-13675.65	-8910	0.1
2400	-20002.7	-8861	0.1
2500	-18182.85	-8861	0.1
2600	-19276.25	-8861	0.1
2700	-17572.0	-8861	0.1
2800	-15538.95	-8861	0.1
2900	-20602.35	-8861	0.1
3000	-20411.2	-8861	0.1
3100	-18084.6	-8861	0.1
3200	-20367.35	-8861	0.1
3300	-26110.25	-8861	0.1
3400	-20696.25	-8861	0.1
3500	-16712.05	-8861	0.1
3600	-19813.4	-8861	0.1
3700	-18572.2	-8861	0.1
3800	-19171.0	-8861	0.1
3900	-19049.0	-8861	0.1
4000	-16801.05	-8861	0.1
4100	-17320.85	-8861	0.1
4200	-19993.65	-8861	0.1
4300	-19979.95	-8861	0.1
4400	-18211.85	-8861	0.1
4500	-20898.85	-8861	0.1
4600	-18883.85	-8861	0.1
